# step, ring_center (x), ring_center (y)
0, 0, 0
1, 22, -3
2, 29, -3
3, 36, -17
4, 36, -10
5, 39, -13
6, 39, -36
7, 37, -33
8, 39, -34
9, 32, -26
10, 33, -36
11, 44, -32
12, 25, -15
13, 43, -15
14, 49, -17
15, 42, 3
16, 55, -13
17, 61, -16
18, 79, -16
19, 79, -5
20, 73, -8
21, 79, -6
22, 68, -2
23, 51, -12
24, 67, -5
25, 49, 5
26, 41, 12
27, 26, 17
28, 41, 29
29, 48, 24
30, 48, 14
31, 61, 27
32, 69, 30
33, 59, 42
34, 42, 39
35, 40, 39
36, 31, 22
37, 25, 21
38, 25, 22
39, 14, 13
40, 16, 8
41, 5, 8
42, 6, 4
43, 8, -14
44, 5, -9
45, 7, -18
46, 1, -28
47, 8, -37
48, 11, -34
49, 27, -29
50, 28, -9
51, 21, 6
52, 9, 3
53, 37, 12
54, 42, 23
55, 39, 35
56, 48, 44
57, 30, 60
58, 18, 77
59, -6, 71
60, 7, 62
61, -9, 68
62, -33, 66
63, -36, 73
64, -38, 72
65, -32, 67
66, -35, 45
67, -46, 43
68, -43, 61
69, -30, 48
70, -39, 53
71, -29, 58
72, -45, 59
73, -48, 66
74, -65, 59
75, -61, 72
76, -70, 80
77, -67, 96
78, -39, 88
79, -36, 75
80, -24, 79
81, -30, 71
82, -27, 83
83, -21, 87
84, -13, 85
85, -15, 89
86, -24, 87
87, -22, 92
88, -25, 100
89, -30, 93
90, -19, 93
91, -35, 97
92, -30, 98
93, -24, 96
94, -22, 94
95, -10, 92
96, -2, 100
97, -3, 108
98, -14, 94
99, -13, 110
100, 12, 106
101, 12, 99
102, -3, 105
103, -14, 103
104, -2, 100
105, 8, 93
106, 11, 101
107, 17, 100
108, 20, 91
109, 10, 81
110, 19, 93
111, 19, 82
112, 26, 93
113, 18, 102
114, 0, 108
115, 15, 85
116, 14, 84
117, -13, 106
118, -5, 101
119, 8, 105
120, 8, 95
121, 23, 106
122, 12, 106
123, 18, 102
124, 13, 105
125, 21, 117
126, 31, 129
127, 28, 132
128, 30, 127
129, 39, 128
130, 42, 134
131, 48, 146
132, 45, 159
133, 38, 165
134, 27, 169
135, 29, 163
136, 39, 156
137, 29, 162
138, 41, 163
139, 35, 195
140, 25, 198
141, 28, 191
142, 25, 201
143, 31, 203
144, 27, 207
145, 32, 205
146, 40, 209
147, 35, 216
148, 37, 221
149, 39, 222
150, 29, 230
151, 17, 233
152, 22, 258
153, 25, 251
154, 16, 247
155, 22, 266
156, 20, 250
157, 27, 226
158, 39, 227
159, 47, 220
160, 45, 211
